QuestionText,QuestionLink,Asker,Edits,QuestionsAsked,Answers,Facebook,Sex,Location,Banned,Followers,Following
Why women tend to have saddlebags and wide hips more often in the mountains? Is it altitude or genetic or what? I noticed a mountain called saddlebags?,https://www.quora.com/Why-women-tend-to-have-saddlebags-and-wide-hips-more-often-in-the-mountains-Is-it-altitude-or-genetic-or-what-I-noticed-a-mountain-called-saddlebags,,,,,,,,,,
"One is not born, but rather becomes a woman?",https://www.quora.com/One-is-not-born-but-rather-becomes-a-woman,,,,,,,,,,
How can a Chinese girl make money with Indian?,https://www.quora.com/How-can-a-Chinese-girl-make-money-with-Indian,,,,,,,,,,
What would the world be like without women? (assuming there was some way for men to carry on the race). Trying to find what men would miss or maybe enjoy.,https://www.quora.com/What-would-the-world-be-like-without-women-assuming-there-was-some-way-for-men-to-carry-on-the-race-Trying-to-find-what-men-would-miss-or-maybe-enjoy,,,,,,,,,,
"At what age will a woman's looks start to deteriorate, by conventional Western standards?",https://www.quora.com/At-what-age-will-a-womans-looks-start-to-deteriorate-by-conventional-Western-standards,,,,,,,,,,
How can I make a girl uncomfortable?,https://www.quora.com/How-can-I-make-a-girl-uncomfortable,,,,,,,,,,
What do girls think about rich guys?,https://www.quora.com/What-do-girls-think-about-rich-guys,,,,,,,,,,
To whom does a woman reveal her secrets?,https://www.quora.com/To-whom-does-a-woman-reveal-her-secrets,,,,,,,,,,
Do girls like giving head? If so why?,https://www.quora.com/Do-girls-like-giving-head-If-so-why,,,,,,,,,,
Why do some women marry men a lot older?,https://www.quora.com/Why-do-some-women-marry-men-a-lot-older,,,,,,,,,,
The girl I like doesn't give me good looks?,https://www.quora.com/The-girl-I-like-doesnt-give-me-good-looks,,,,,,,,,,
What are some safe ways to interact more with the girl you like in high school?,https://www.quora.com/What-are-some-safe-ways-to-interact-more-with-the-girl-you-like-in-high-school,,,,,,,,,,
Why does this girl trust me so much?,https://www.quora.com/Why-does-this-girl-trust-me-so-much,,,,,,,,,,
Should women get rid of their nose hair?,https://www.quora.com/Should-women-get-rid-of-their-nose-hair,,,,,,,,,,
"Should girls be allowed to pee in sinks, or must that privilege be restricted to boys?",https://www.quora.com/Should-girls-be-allowed-to-pee-in-sinks-or-must-that-privilege-be-restricted-to-boys,,,,,,,,,,
What if I got angry and presses my girlfriend's boob?,https://www.quora.com/What-if-I-got-angry-and-presses-my-girlfriends-boob,,,,,,,,,,
Question patterns by Jay Wacker on The Quora Blog,https://blog.quora.com/Question-patterns,,,,,,,,,,
Is the Brain male or female?,https://www.quora.com/Is-the-Brain-male-or-female,,,,,,,,,,
What is so tempting about about women's butt that causes most men to lust?,https://www.quora.com/What-is-so-tempting-about-about-womens-butt-that-causes-most-men-to-lust,,,,,,,,,,
Is the feeling of euphoria a DIY hobbyist gets when visiting his or her favourite electronics/ DIY shop 6 months after the last visit the same as a female make-up enthusiast visiting a make-up store 6 months after the last visit the same?,https://www.quora.com/Is-the-feeling-of-euphoria-a-DIY-hobbyist-gets-when-visiting-his-or-her-favourite-electronics-DIY-shop-6-months-after-the-last-visit-the-same-as-a-female-make-up-enthusiast-visiting-a-make-up-store-6-months-after-the-last-visit-the-same,,,,,,,,,,
Why do arab girls smell so good?,https://www.quora.com/Why-do-arab-girls-smell-so-good,,,,,,,,,,
Are women more attracted to a sense of humour or to a man with a muscular body?,https://www.quora.com/Are-women-more-attracted-to-a-sense-of-humour-or-to-a-man-with-a-muscular-body,,,,,,,,,,
Why are females talking to me like I'm a female and they are the male. Like the roles are reversed without my consent?,https://www.quora.com/Why-are-females-talking-to-me-like-Im-a-female-and-they-are-the-male-Like-the-roles-are-reversed-without-my-consent,,,,,,,,,,
Can you legally not hire a feminist?,https://www.quora.com/Can-you-legally-not-hire-a-feminist,,,,,,,,,,
Why are men mostly egoistic and women mostly emotional?,https://www.quora.com/Why-are-men-mostly-egoistic-and-women-mostly-emotional,,,,,,,,,,
Does a man in a long-term stable relationship with a woman receive fellatio from the woman?,https://www.quora.com/Does-a-man-in-a-long-term-stable-relationship-with-a-woman-receive-fellatio-from-the-woman,,,,,,,,,,
Do women understand it when you throw a look at their butt?,https://www.quora.com/Do-women-understand-it-when-you-throw-a-look-at-their-butt,,,,,,,,,,
What would happen if I ended up marrying a lesbian in an arranged marriage?,https://www.quora.com/What-would-happen-if-I-ended-up-marrying-a-lesbian-in-an-arranged-marriage,,,,,,,,,,
"Why are some things okay for women to do, but not men?",https://www.quora.com/Why-are-some-things-okay-for-women-to-do-but-not-men,,,,,,,,,,
Do any girls not wear panties in public?,https://www.quora.com/Do-any-girls-not-wear-panties-in-public,,,,,,,,,,
How do Indian women react when bigg boss invite male pornstar for show? Do Indian women search on internet to see male porn?,https://www.quora.com/How-do-Indian-women-react-when-bigg-boss-invite-male-pornstar-for-show-Do-Indian-women-search-on-internet-to-see-male-porn,,,,,,,,,,
Does skin colour matter for Indian women?,https://www.quora.com/Does-skin-colour-matter-for-Indian-women,,,,,,,,,,
Why do women try to control men in the household because she makes more money?,https://www.quora.com/Why-do-women-try-to-control-men-in-the-household-because-she-makes-more-money,,,,,,,,,,
Which is a woman's most sensitive part?,https://www.quora.com/Which-is-a-womans-most-sensitive-part,,,,,,,,,,
"What types of personalities do smart girls have? Goth, highbrow etc",https://www.quora.com/What-types-of-personalities-do-smart-girls-have-Goth-highbrow-etc,,,,,,,,,,
Why do I attract well-built women?,https://www.quora.com/Why-do-I-attract-well-built-women,,,,,,,,,,
My mom wears very skimpy dresses at outings and my friends see her with lust. I get embarrassed whenever I go out with her. How to tell her?,https://www.quora.com/My-mom-wears-very-skimpy-dresses-at-outings-and-my-friends-see-her-with-lust-I-get-embarrassed-whenever-I-go-out-with-her-How-to-tell-her,,,,,,,,,,
Can skinny girl do some exercise like jogging or jump?,https://www.quora.com/Can-skinny-girl-do-some-exercise-like-jogging-or-jump,,,,,,,,,,
How can I avoid liking women who only like men with big penises?,https://www.quora.com/How-can-I-avoid-liking-women-who-only-like-men-with-big-penises,,,,,,,,,,
Do girls like cum and why?,https://www.quora.com/Do-girls-like-cum-and-why,,,,,,,,,,
"Women, if you had seen another girl trying to clean up dark streaks on a seat, would you spread gossip?",https://www.quora.com/Women-if-you-had-seen-another-girl-trying-to-clean-up-dark-streaks-on-a-seat-would-you-spread-gossip,,,,,,,,,,
Which mixes of races produces the prettiest girls?,https://www.quora.com/Which-mixes-of-races-produces-the-prettiest-girls,,,,,,,,,,
"During the transit of Venus, my school held a media event where girls could observe but boys had to stay in class. Is this sexist?",https://www.quora.com/During-the-transit-of-Venus-my-school-held-a-media-event-where-girls-could-observe-but-boys-had-to-stay-in-class-Is-this-sexist,,,,,,,,,,
What do you do when you asked a girl out and you are confused by her response?,https://www.quora.com/What-do-you-do-when-you-asked-a-girl-out-and-you-are-confused-by-her-response,,,,,,,,,,
"There is a girl I have been in love with since 7th grade. I love her and she's the one for me. I couldn't be with another girl. What do I do if I like her, but she talks to another boy?",https://www.quora.com/There-is-a-girl-I-have-been-in-love-with-since-7th-grade-I-love-her-and-shes-the-one-for-me-I-couldnt-be-with-another-girl-What-do-I-do-if-I-like-her-but-she-talks-to-another-boy,,,,,,,,,,
At what age do girls lose their looks?,https://www.quora.com/At-what-age-do-girls-lose-their-looks,,,,,,,,,,
What are the things a normal girl likes?,https://www.quora.com/What-are-the-things-a-normal-girl-likes,,,,,,,,,,
How many rounds will satisfy a woman?,https://www.quora.com/How-many-rounds-will-satisfy-a-woman,,,,,,,,,,
"Is it true that men know more of the ""body"" of a women than she knows of a man? If so, isn't it unfair to women? (please read the details before answering the question)?",https://www.quora.com/Is-it-true-that-men-know-more-of-the-body-of-a-women-than-she-knows-of-a-man-If-so-isnt-it-unfair-to-women-please-read-the-details-before-answering-the-question,,,,,,,,,,
If I dip my penis in plastic in front of the girl I love will shelove me back?,https://www.quora.com/If-I-dip-my-penis-in-plastic-in-front-of-the-girl-I-love-will-shelove-me-back,,,,,,,,,,
"If I stick my fingers under my foreskin and then shake my crushes hand, will she like me under the subconsious influence of the male scent?",https://www.quora.com/If-I-stick-my-fingers-under-my-foreskin-and-then-shake-my-crushes-hand-will-she-like-me-under-the-subconsious-influence-of-the-male-scent,,,,,,,,,,
If I tell my crush that I got a 35 on my ACT will she date me?,https://www.quora.com/If-I-tell-my-crush-that-I-got-a-35-on-my-ACT-will-she-date-me,,,,,,,,,,
"If I sing ""The Internet Is For Porn"" from the Musical Avenue Q for the girl I like, will she be impressed?",https://www.quora.com/If-I-sing-The-Internet-Is-For-Porn-from-the-Musical-Avenue-Q-for-the-girl-I-like-will-she-be-impressed,,,,,,,,,,
Why do black women date white men?,https://www.quora.com/Why-do-black-women-date-white-men,,,,,,,,,,
Why do American girls like to show their boobs?,https://www.quora.com/Why-do-American-girls-like-to-show-their-boobs,,,,,,,,,,
"Worldwide, do feminists have fewer children than women who are not feminists?",https://www.quora.com/Worldwide-do-feminists-have-fewer-children-than-women-who-are-not-feminists,,,,,,,,,,
"Will a woman with feminist views marry a man who is shorter than her, earns lesser than her, less educated than her or all of the above?",https://www.quora.com/Will-a-woman-with-feminist-views-marry-a-man-who-is-shorter-than-her-earns-lesser-than-her-less-educated-than-her-or-all-of-the-above,,,,,,,,,,
What is the difference between the drinks men and women purchase at a bar/nightclub?,https://www.quora.com/What-is-the-difference-between-the-drinks-men-and-women-purchase-at-a-bar-nightclub,,,,,,,,,,
"Does love of minds even exist? Do most college girls in India choose a boyfriend out of the lot of guys showing interest in them, by looks?",https://www.quora.com/Does-love-of-minds-even-exist-Do-most-college-girls-in-India-choose-a-boyfriend-out-of-the-lot-of-guys-showing-interest-in-them-by-looks,,,,,,,,,,
Which one is more tensions free - Male or Female? And why?,https://www.quora.com/Which-one-is-more-tensions-free-Male-or-Female-And-why,,,,,,,,,,
Why do girls wear something over their bra (some same colored thin vest)?,https://www.quora.com/Why-do-girls-wear-something-over-their-bra-some-same-colored-thin-vest,,,,,,,,,,
Do women like an?,https://www.quora.com/Do-women-like-an,,,,,,,,,,
What goes on in a girl's mind when she expects a guy to give her attention but he doesn't?,https://www.quora.com/What-goes-on-in-a-girls-mind-when-she-expects-a-guy-to-give-her-attention-but-he-doesnt,,,,,,,,,,
How do I indirectly let her know I have a crush on her?,https://www.quora.com/How-do-I-indirectly-let-her-know-I-have-a-crush-on-her,,,,,,,,,,
What woman would be an ideal match for this guy?,https://www.quora.com/What-woman-would-be-an-ideal-match-for-this-guy,,,,,,,,,,
Why do some women cry to cheat men? Read this fully?,https://www.quora.com/Why-do-some-women-cry-to-cheat-men-Read-this-fully,,,,,,,,,,
What are the best facebook groups for women?,https://www.quora.com/What-are-the-best-facebook-groups-for-women,,,,,,,,,,
"Why are so many women psychoanalysts? Are their marital lives better than average women? I mean, it should be safe to marry one (man or woman), right?",https://www.quora.com/Why-are-so-many-women-psychoanalysts-Are-their-marital-lives-better-than-average-women-I-mean-it-should-be-safe-to-marry-one-man-or-woman-right,,,,,,,,,,
"Women: do your energy levels vary during the month? If so, how do you fit this in with your work?",https://www.quora.com/Women-do-your-energy-levels-vary-during-the-month-If-so-how-do-you-fit-this-in-with-your-work,,,,,,,,,,
Whats the worst sound a girl can hear from her own body (I know it depends on the person/ situation)?,https://www.quora.com/Whats-the-worst-sound-a-girl-can-hear-from-her-own-body-I-know-it-depends-on-the-person-situation,,,,,,,,,,
What do girls think of unmanly and simple minded boys?,https://www.quora.com/What-do-girls-think-of-unmanly-and-simple-minded-boys,,,,,,,,,,
Why are white man on white woman crimes made to look lesser in the media? Why are the feminists not fighting back?,https://www.quora.com/Why-are-white-man-on-white-woman-crimes-made-to-look-lesser-in-the-media-Why-are-the-feminists-not-fighting-back,,,,,,,,,,
Are women more racially biased in regards to dating and marriage then men are?,https://www.quora.com/Are-women-more-racially-biased-in-regards-to-dating-and-marriage-then-men-are,,,,,,,,,,
They say a woman's body changes after losing her virginity. How can one tell by just looking at her standing or observing she walks?,https://www.quora.com/They-say-a-womans-body-changes-after-losing-her-virginity-How-can-one-tell-by-just-looking-at-her-standing-or-observing-she-walks,,,,,,,,,,
What is the reason for menstruation according to the religions?,https://www.quora.com/What-is-the-reason-for-menstruation-according-to-the-religions,,,,,,,,,,
"Should I stop pursuing a girl if she makes little comments like, ""My heart is ice cold ""?",https://www.quora.com/Should-I-stop-pursuing-a-girl-if-she-makes-little-comments-like-My-heart-is-ice-cold,,,,,,,,,,
Do girls who jog have light periods?,https://www.quora.com/Do-girls-who-jog-have-light-periods,,,,,,,,,,
"I'm a 6'1' guy with an over-sized tool. What is sex like with a VERY SHORT woman? (eg less then 4'10"").",https://www.quora.com/Im-a-61-guy-with-an-over-sized-tool-What-is-sex-like-with-a-VERY-SHORT-woman-eg-less-then-410,,,,,,,,,,
Why would a young woman want to try sex with another woman?,https://www.quora.com/Why-would-a-young-woman-want-to-try-sex-with-another-woman,,,,,,,,,,
What kind of women have big clits?,https://www.quora.com/What-kind-of-women-have-big-clits,,,,,,,,,,
"When good looking and handsome guy flirts with girl, she wouldn't mind it but when average looking guy does the same, he is screwed.Why girls are hypocrite about that?",https://www.quora.com/When-good-looking-and-handsome-guy-flirts-with-girl-she-wouldnt-mind-it-but-when-average-looking-guy-does-the-same-he-is-screwed-Why-girls-are-hypocrite-about-that,,,,,,,,,,
"How come certain type of women lose trust in men (for example single mother daughters), but men don't lose trust in women no matter what happens to them?",https://www.quora.com/How-come-certain-type-of-women-lose-trust-in-men-for-example-single-mother-daughters-but-men-dont-lose-trust-in-women-no-matter-what-happens-to-them,,,,,,,,,,
How do I get a girl way out of my league to like me?,https://www.quora.com/How-do-I-get-a-girl-way-out-of-my-league-to-like-me,,,,,,,,,,
"""Middle class educated Indian women are gold-diggers and very dangerous"", how true is this statement?",https://www.quora.com/Middle-class-educated-Indian-women-are-gold-diggers-and-very-dangerous-how-true-is-this-statement,,,,,,,,,,
What do Indian women do when they want to give a loud fart?,https://www.quora.com/What-do-Indian-women-do-when-they-want-to-give-a-loud-fart,,,,,,,,,,
Is it weird if a girl does not want to get slim or beautiful and does not want to attract anyone?,https://www.quora.com/Is-it-weird-if-a-girl-does-not-want-to-get-slim-or-beautiful-and-does-not-want-to-attract-anyone,,,,,,,,,,
"If a girl says yes to you asking her out, what do you do after if you are still with her for a few hours?",https://www.quora.com/If-a-girl-says-yes-to-you-asking-her-out-what-do-you-do-after-if-you-are-still-with-her-for-a-few-hours,,,,,,,,,,
"If the girl I like waved and said hi to me in the hallway after her 5th period yesterday, is it a good sign?",https://www.quora.com/If-the-girl-I-like-waved-and-said-hi-to-me-in-the-hallway-after-her-5th-period-yesterday-is-it-a-good-sign,,,,,,,,,,
How do I get back my ex-girlfriend if she has a new lover?,https://www.quora.com/How-do-I-get-back-my-ex-girlfriend-if-she-has-a-new-lover,,,,,,,,,,
"A girl rejected 3-4 months back, and she gives me hints. Could she still like me?",https://www.quora.com/A-girl-rejected-3-4-months-back-and-she-gives-me-hints-Could-she-still-like-me,,,,,,,,,,
What a girl will choose orgasm or shopping?,https://www.quora.com/What-a-girl-will-choose-orgasm-or-shopping,,,,,,,,,,
Are women more likely to get kidnapped than men?,https://www.quora.com/Are-women-more-likely-to-get-kidnapped-than-men,,,,,,,,,,
How should I handle my first girlfriend at 32?,https://www.quora.com/How-should-I-handle-my-first-girlfriend-at-32-1,,,,,,,,,,
If a girl has very few Instagram followers. Does it mean she is not beautiful?,https://www.quora.com/If-a-girl-has-very-few-Instagram-followers-Does-it-mean-she-is-not-beautiful,,,,,,,,,,
How do I convince a female sex doctor to have sex with me (she will have the best of the sex techniques and positions)?,https://www.quora.com/How-do-I-convince-a-female-sex-doctor-to-have-sex-with-me-she-will-have-the-best-of-the-sex-techniques-and-positions,,,,,,,,,,
What happens at adult female pajama parties?,https://www.quora.com/What-happens-at-adult-female-pajama-parties,,,,,,,,,,
Are the traditional female body language signals BS?,https://www.quora.com/Are-the-traditional-female-body-language-signals-BS,,,,,,,,,,
"My friend and I are planning a trip to South America, and we hope to find a lot of women to hook up with. Is this morally wrong in their culture?",https://www.quora.com/My-friend-and-I-are-planning-a-trip-to-South-America-and-we-hope-to-find-a-lot-of-women-to-hook-up-with-Is-this-morally-wrong-in-their-culture,,,,,,,,,,
"How do we know if a woman has milk in her breasts? Is there any physical way to know that a particular woman has milk, some signs from which it is possible to conclude this?",https://www.quora.com/How-do-we-know-if-a-woman-has-milk-in-her-breasts-Is-there-any-physical-way-to-know-that-a-particular-woman-has-milk-some-signs-from-which-it-is-possible-to-conclude-this,,,,,,,,,,
Do Indian woman hate dark skin Indian men?,https://www.quora.com/Do-Indian-woman-hate-dark-skin-Indian-men,,,,,,,,,,
How can an introverted girl and an introverted guy become a couple?,https://www.quora.com/How-can-an-introverted-girl-and-an-introverted-guy-become-a-couple,,,,,,,,,,
She ignores me even after we have sex. What does she want?,https://www.quora.com/She-ignores-me-even-after-we-have-sex-What-does-she-want,,,,,,,,,,
Why does this female employee get treated much better and what can I do about it?,https://www.quora.com/Why-does-this-female-employee-get-treated-much-better-and-what-can-I-do-about-it,,,,,,,,,,
Are women taking advantage of men who respect them?,https://www.quora.com/Are-women-taking-advantage-of-men-who-respect-them,,,,,,,,,,
Is meditation better for cultivating feminine qualities than masculine ones?,https://www.quora.com/Is-meditation-better-for-cultivating-feminine-qualities-than-masculine-ones,,,,,,,,,,
Why do some women have unrealistic standards?,https://www.quora.com/Why-do-some-women-have-unrealistic-standards,,,,,,,,,,
Why has this girl just stopped replying to me?,https://www.quora.com/Why-has-this-girl-just-stopped-replying-to-me,,,,,,,,,,
My ,https://www.quora.com/My-girl-friend-is-taller-than-I-am,,,,,,,,,,
Why do 21 year old girls think too much about superfluous things?,https://www.quora.com/Why-do-21-year-old-girls-think-too-much-about-superfluous-things,,,,,,,,,,
Are women more fragile than men? Are we better off being more gentle to women?,https://www.quora.com/Are-women-more-fragile-than-men-Are-we-better-off-being-more-gentle-to-women,,,,,,,,,,
What should I do when I like this guy but we don't really talk?,https://www.quora.com/What-should-I-do-when-I-like-this-guy-but-we-dont-really-talk,,,,,,,,,,
Comments which girls like on her profile pictures?,https://www.quora.com/Comments-which-girls-like-on-her-profile-pictures,,,,,,,,,,
I would never get married to a fat girl. After delivering babies what will happen to her? Injections etc. Why just the thought of it is so unattractive?,https://www.quora.com/I-would-never-get-married-to-a-fat-girl-After-delivering-babies-what-will-happen-to-her-Injections-etc-Why-just-the-thought-of-it-is-so-unattractive,,,,,,,,,,
Is it okay to have sex with a pregnant woman?,https://www.quora.com/Is-it-okay-to-have-sex-with-a-pregnant-woman,,,,,,,,,,
What are the oldest stories about women?,https://www.quora.com/What-are-the-oldest-stories-about-women,,,,,,,,,,
Why do some women look at me like they are assessing whether I am in their league? What's all the complexity about? Either you think I look alright or you don't.,https://www.quora.com/Why-do-some-women-look-at-me-like-they-are-assessing-whether-I-am-in-their-league-Whats-all-the-complexity-about-Either-you-think-I-look-alright-or-you-dont,,,,,,,,,,
Why are so many feminists misandric?,https://www.quora.com/Why-are-so-many-feminists-misandric,,,,,,,,,,
I have proposed a girl but she reject me but still she message me what should I do?,https://www.quora.com/I-have-proposed-a-girl-but-she-reject-me-but-still-she-message-me-what-should-I-do,,,,,,,,,,
How can found my Japanese women?,https://www.quora.com/How-can-found-my-Japanese-women,,,,,,,,,,
Why do people shame men if they judge a woman by her looks but are totally OK with it when a woman does the same to a man?,https://www.quora.com/Why-do-people-shame-men-if-they-judge-a-woman-by-her-looks-but-are-totally-OK-with-it-when-a-woman-does-the-same-to-a-man,,,,,,,,,,
Has the queen of England ever eaten a burrito?,https://www.quora.com/Has-the-queen-of-England-ever-eaten-a-burrito,,,,,,,,,,
"I love a woman, but she is not beautiful. What should I do?",https://www.quora.com/I-love-a-woman-but-she-is-not-beautiful-What-should-I-do,,,,,,,,,,
What should be perfect figure for a woman having 5ft. Height?,https://www.quora.com/What-should-be-perfect-figure-for-a-woman-having-5ft-Height,,,,,,,,,,
How do women get any work done?,https://www.quora.com/How-do-women-get-any-work-done,,,,,,,,,,
How do girls keep their hair always looking good?,https://www.quora.com/How-do-girls-keep-their-hair-always-looking-good,,,,,,,,,,
Why is there a Chinese custom that says that man should not walk under a woman's underwear?,https://www.quora.com/Why-is-there-a-Chinese-custom-that-says-that-man-should-not-walk-under-a-womans-underwear,,,,,,,,,,
If I'm not a football player would I get a girl in college?,https://www.quora.com/If-Im-not-a-football-player-would-I-get-a-girl-in-college,,,,,,,,,,
